TokenId,DateTime,Title,ArtistName,PlaylistName,CategoryName,
1191,8/18/2017 6:48:30 PM,Wipe 4,EC-WIPE-CP-E-0617,West & North,IAP TV,
1191,8/18/2017 6:47:36 PM,Desk Exercise,EC-DE-GF-E-0617,West & North,IAP TV,
1191,8/18/2017 6:46:19 PM,Malnutrition Film,EC-MF-GN-E-0617,West & North,IAP TV,
1191,8/18/2017 6:44:47 PM,Family Cleaning,EC-FC-GH-E-0617,West & North,IAP TV,
1191,8/18/2017 6:42:42 PM,Sibling Rivalry,EC-SR-PT-E-0617,West & North,IAP TV,
1191,8/17/2017 9:00:36 PM,How To Say No,EC-HTSN-PT-H-0617,West & North,IAP TV,
1191,8/17/2017 8:58:57 PM,Yolo - Curd,EC-YC-CN-H-0617,West & North,IAP TV,
1191,8/17/2017 8:57:27 PM,Germ Mascot,EC-GM-GH-E-0617,West & North,IAP TV,
1191,8/17/2017 8:57:24 PM,Wipe 1,EC-WIPE-CP-E-0617,West & North,IAP TV,
1191,8/17/2017 8:54:11 PM,Doctors Speak About IAP,EC-DS-GH-E-0617,West & North,IAP TV,
1191,8/17/2017 8:53:53 PM,Channel ID,EC-CHID-CP-E-0617,West & North,IAP TV,
1191,8/17/2017 8:53:50 PM,Wipe 4,EC-WIPE-CP-E-0617,West & North,IAP TV,
1191,8/17/2017 8:52:56 PM,Desk Exercise,EC-DE-GF-E-0617,West & North,IAP TV,
1191,8/17/2017 8:51:39 PM,Malnutrition Film,EC-MF-GN-E-0617,West & North,IAP TV,
1191,8/17/2017 8:50:08 PM,Family Cleaning,EC-FC-GH-E-0617,West & North,IAP TV,
1191,8/17/2017 8:48:02 PM,Sibling Rivalry,EC-SR-PT-E-0617,West & North,IAP TV,
1191,8/17/2017 8:47:59 PM,Wipe 3,EC-WIPE-CP-E-0617,West & North,IAP TV,
1191,8/17/2017 8:46:32 PM,Vitamin D,EC-VD-CH-E-0617,West & North,IAP TV,
1191,8/17/2017 8:46:07 PM,Good Food Habits,EC-GFH-CN-E-0617,West & North,IAP TV,
1191,8/17/2017 8:44:53 PM,Outdoor Sports,EC-OS-GF-E-0617,West & North,IAP TV,
1191,8/17/2017 8:43:28 PM,Pregnant Lullaby,EC-PL-MN-E-0617,West & North,IAP TV,
1191,8/17/2017 8:43:25 PM,Wipe 2,EC-WIPE-CP-E-0617,West & North,IAP TV,
1191,8/17/2017 8:42:54 PM,Brush Twice A Day,EC-BTAD-CH-E-0617,West & North,IAP TV,
1191,8/17/2017 8:39:22 PM,How To Say No,EC-HTSN-PT-H-0617,West & North,IAP TV,
1191,8/17/2017 8:37:43 PM,Yolo - Curd,EC-YC-CN-H-0617,West & North,IAP TV,
1191,8/17/2017 8:36:13 PM,Germ Mascot,EC-GM-GH-E-0617,West & North,IAP TV,
1191,8/17/2017 8:36:10 PM,Wipe 1,EC-WIPE-CP-E-0617,West & North,IAP TV,
1191,8/17/2017 8:32:57 PM,Doctors Speak About IAP,EC-DS-GH-E-0617,West & North,IAP TV,
1191,8/17/2017 8:32:39 PM,Channel ID,EC-CHID-CP-E-0617,West & North,IAP TV,
1191,8/17/2017 8:32:36 PM,Wipe 4,EC-WIPE-CP-E-0617,West & North,IAP TV,
1191,8/17/2017 8:31:42 PM,Desk Exercise,EC-DE-GF-E-0617,West & North,IAP TV,
1191,8/17/2017 8:30:25 PM,Malnutrition Film,EC-MF-GN-E-0617,West & North,IAP TV,
1191,8/17/2017 8:28:53 PM,Family Cleaning,EC-FC-GH-E-0617,West & North,IAP TV,
1191,8/17/2017 8:26:48 PM,Sibling Rivalry,EC-SR-PT-E-0617,West & North,IAP TV,
1191,8/17/2017 8:26:45 PM,Wipe 3,EC-WIPE-CP-E-0617,West & North,IAP TV,
1191,8/17/2017 8:25:18 PM,Vitamin D,EC-VD-CH-E-0617,West & North,IAP TV,
1191,8/17/2017 8:24:52 PM,Good Food Habits,EC-GFH-CN-E-0617,West & North,IAP TV,
1191,8/17/2017 8:23:39 PM,Outdoor Sports,EC-OS-GF-E-0617,West & North,IAP TV,
1191,8/17/2017 8:22:14 PM,Pregnant Lullaby,EC-PL-MN-E-0617,West & North,IAP TV,
1191,8/17/2017 8:22:11 PM,Wipe 2,EC-WIPE-CP-E-0617,West & North,IAP TV,
1191,8/17/2017 8:21:40 PM,Brush Twice A Day,EC-BTAD-CH-E-0617,West & North,IAP TV,
1191,8/17/2017 8:18:07 PM,How To Say No,EC-HTSN-PT-H-0617,West & North,IAP TV,
1191,8/17/2017 8:16:29 PM,Yolo - Curd,EC-YC-CN-H-0617,West & North,IAP TV,
1191,8/17/2017 8:14:59 PM,Germ Mascot,EC-GM-GH-E-0617,West & North,IAP TV,
1191,8/17/2017 8:14:56 PM,Wipe 1,EC-WIPE-CP-E-0617,West & North,IAP TV,
1191,8/17/2017 8:11:43 PM,Doctors Speak About IAP,EC-DS-GH-E-0617,West & North,IAP TV,
